,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
363,Disko krali,2008,2010,3,,Comedy,15.0,"Okan Bayülgen,Erol Günaydin,Hakki Devrim,Tayfun Duygulu",,7.0
364,Ölüm Çiçekleri,2008,2010,3,,Action,16.0,"Tan Arcan,Zeynep Beserler,Nadim Güç,Asli Sahin",,4.8
365,Ask Yakar,2008,2009,2,,Drama,18.0,"Tan Arcan,Meltem Cumbul,Özcan Deniz,Ugur Polat",,3.5
366,1 Kadin 1 Erkek,2008,2010,3,,Comedy,16.0,"Miray Daner,Demet Evgar,Emre Karayel,Ayse Melike Çerçi",,7.9
367,Serce,2008,2009,2,,Drama,18.0,"Özhan Carda,Deniz Gökçer,Alev Gürzap,Fikret Hakan",,5.5
368,Goncakaranfil,2008,2009,2,,Drama,18.0,"Sarp Akkaya,Alisan,Aslihan Gürbüz,Esref Kolçak",,3.6
369,Unutma Beni,2008,2010,3,,Drama,18.0,"Zafer Gokcek,Engin Özsayin,Özgürcan Cevik,Temmuz Gürkan Karaca",,3.3
370,Sen Harikasin,2008,2010,3,,Comedy,16.0,"Demet Akbag,Ruhsar Gültekin,Güven Kiraç,Ragip Savas",,6.5
371,Ipsiz Recep,2008,2009,2,,Drama,18.0,"Kadir Inanir,Manolya Asik,Murat Bölücek,Hilmi Erdem",,5.9
372,Kalpsiz Adam,2008,2010,3,,Drama,18.0,"Riza Akin,Saadet Aksoy,Batur Belirdi,Hakan Boyav",,7.0
373,Cesaretin var mi aska,2008,2010,3,,Comedy,16.0,"Engin Altan Düzyatan,Özge Özpirinçci,Tarik Pabuccuoglu,Ali Erkazan",,3.4
374,Es-Es,2008,2009,2,,Action,15.5,"Erdal Besikçioglu,Berk Hakman,Derya Alabora,Leyla Lydia Tugutlu",,7.2
375,Ece,2008,2010,3,,Comedy,15.333333333333334,"Nazli Akin,Hande Ataizi,Özlem Balci,Osman Bayraktutan",,1.5
376,Benim annem bir melek,2008,2010,3,,Comedy,15.666666666666666,"Oya Basar,Tarik Ünlüoglu,Dolunay Soysert,Ali Sunal",,6.2
377,Aninda görüntü show,2008,2009,2,,Comedy,16.0,"Yigit Ari,Hale Caneroglu,Osmantan Erkir,Ayça Isildar",,6.8
378,Yalanci romantik,2008,2010,3,,Comedy,16.0,"Hakan Yilmaz,Ebru Cündübeyoglu,Zerrin Sümer,Yalçin Mentes",,7.5
379,Komedi türk,2008,2010,3,,Comedy,16.0,"Ferdi Akarnur,Icmal Aktuna,Anastasia Beloborodova,Max Bendo",,4.6
380,Kollama,2008,2011,4,,Action,16.333333333333332,"Burçin Abdullah,Sebahat Adalar,Kamil Adigüzel,Melek Akarsu",,7.5
381,Pulsar,2008,2008,1,,Comedy,15.5,"Baris Akkoyun,Ayberk Atilla,Ates Aydiner,Buket Dereoglu",,7.0
382,Pepee,2008,2015,8,,Animation,15.5,"Meryem Atmaca,Ayse Sule Bilgiç,Iraz Elif Kiraç,Yagiz Alp Simsek",,6.0
